pid,k,variant,fit_on,set_mae,set_acc,n_val,n_support,n_functions_seen,n_fallback,mean_cell_rows,set_mae_tail,set_acc_tail,n_val_tail
002,10,driver_function,support,0.7380952380952381,0.6428571428571429,84,10,5,0,2.0,nan,nan,0
002,20,driver_function,support,0.8378378378378378,0.5945945945945946,74,20,5,0,4.0,nan,nan,0
002,30,driver_function,support,0.90625,0.59375,64,30,5,0,6.0,nan,nan,0
002,40,driver_function,support,1.0,0.5555555555555556,54,40,5,0,8.0,nan,nan,0
002,50,driver_function,support,1.0227272727272727,0.5454545454545454,44,50,5,0,10.0,nan,nan,0
002,60,driver_function,support,1.0294117647058822,0.5294117647058824,34,60,5,0,12.0,nan,nan,0
003,5,driver_function,support,0.717948717948718,0.47863247863247865,117,5,4,23,1.25,nan,nan,0
003,10,driver_function,support,0.41964285714285715,0.5892857142857143,112,10,5,0,2.0,nan,nan,0
003,20,driver_function,support,0.4411764705882353,0.5686274509803921,102,20,5,0,4.0,nan,nan,0
003,30,driver_function,support,0.42391304347826086,0.5760869565217391,92,30,5,0,6.0,nan,nan,0
003,40,driver_function,support,0.4146341463414634,0.5853658536585366,82,40,5,0,8.0,nan,nan,0
003,50,driver_function,support,0.4722222222222222,0.5277777777777778,72,50,5,0,10.0,nan,nan,0
003,60,driver_function,support,0.5161290322580645,0.4838709677419355,62,60,5,0,12.0,nan,nan,0
004,5,driver_function,support,0.28440366972477066,0.7155963302752294,109,5,3,48,1.6666666666666667,nan,nan,0
004,10,driver_function,support,0.2980769230769231,0.7019230769230769,104,10,4,19,2.5,nan,nan,0
004,20,driver_function,support,0.1595744680851064,0.8404255319148937,94,20,5,0,4.0,nan,nan,0
004,30,driver_function,support,0.15476190476190477,0.8452380952380952,84,30,5,0,6.0,nan,nan,0
004,40,driver_function,support,0.16216216216216217,0.8378378378378378,74,40,5,0,8.0,nan,nan,0
004,50,driver_function,support,0.171875,0.828125,64,50,5,0,10.0,nan,nan,0
004,60,driver_function,support,0.12962962962962962,0.8703703703703703,54,60,5,0,12.0,nan,nan,0
005,5,driver_function,support,0.8,0.391304347826087,115,5,4,18,1.25,nan,nan,0
005,10,driver_function,support,0.8545454545454545,0.5181818181818182,110,10,5,0,2.0,nan,nan,0
005,20,driver_function,support,0.5,0.53,100,20,5,0,4.0,nan,nan,0
005,30,driver_function,support,0.3888888888888889,0.6444444444444445,90,30,5,0,6.0,nan,nan,0
005,40,driver_function,support,0.4,0.6375,80,40,5,0,8.0,nan,nan,0
005,50,driver_function,support,0.34285714285714286,0.6571428571428571,70,50,5,0,10.0,nan,nan,0
005,60,driver_function,support,0.35,0.65,60,60,5,0,12.0,nan,nan,0
006,5,driver_function,support,1.135135135135135,0.40540540540540543,111,5,4,24,1.25,nan,nan,0
006,10,driver_function,support,1.1886792452830188,0.37735849056603776,106,10,4,24,2.5,nan,nan,0
006,20,driver_function,support,1.5,0.3333333333333333,96,20,5,0,4.0,nan,nan,0
006,30,driver_function,support,1.0813953488372092,0.36046511627906974,86,30,5,0,6.0,nan,nan,0
006,40,driver_function,support,0.7236842105263158,0.5131578947368421,76,40,5,0,8.0,nan,nan,0
006,50,driver_function,support,0.45454545454545453,0.5606060606060606,66,50,5,0,10.0,nan,nan,0
006,60,driver_function,support,0.30357142857142855,0.7142857142857143,56,60,5,0,12.0,nan,nan,0
007,5,driver_function,support,0.35877862595419846,0.7175572519083969,131,5,4,28,1.25,nan,nan,0
007,10,driver_function,support,0.7063492063492064,0.5238095238095238,126,10,5,0,2.0,nan,nan,0
007,20,driver_function,support,0.6896551724137931,0.5344827586206896,116,20,5,0,4.0,nan,nan,0
007,30,driver_function,support,0.6698113207547169,0.5377358490566038,106,30,5,0,6.0,nan,nan,0
007,40,driver_function,support,0.2916666666666667,0.7083333333333334,96,40,5,0,8.0,nan,nan,0
007,50,driver_function,support,0.38372093023255816,0.6162790697674418,86,50,5,0,10.0,nan,nan,0
007,60,driver_function,support,0.21052631578947367,0.7894736842105263,76,60,5,0,12.0,nan,nan,0
008,5,driver_function,support,0.48760330578512395,0.5702479338842975,121,5,5,0,1.0,nan,nan,0
008,10,driver_function,support,0.5086206896551724,0.5517241379310345,116,10,5,0,2.0,nan,nan,0
008,20,driver_function,support,0.5377358490566038,0.5283018867924528,106,20,5,0,4.0,nan,nan,0
008,30,driver_function,support,0.5729166666666666,0.5,96,30,5,0,6.0,nan,nan,0
008,40,driver_function,support,0.627906976744186,0.45348837209302323,86,40,5,0,8.0,nan,nan,0
008,50,driver_function,support,0.6973684210526315,0.39473684210526316,76,50,5,0,10.0,nan,nan,0
008,60,driver_function,support,0.7121212121212122,0.3787878787878788,66,60,5,0,12.0,nan,nan,0
009,5,driver_function,support,0.08527131782945736,0.9147286821705426,129,5,5,0,1.0,nan,nan,0
009,10,driver_function,support,0.08870967741935484,0.9112903225806451,124,10,5,0,2.0,nan,nan,0
009,20,driver_function,support,0.08771929824561403,0.9122807017543859,114,20,5,0,4.0,nan,nan,0
009,30,driver_function,support,0.09615384615384616,0.9038461538461539,104,30,5,0,6.0,nan,nan,0
009,40,driver_function,support,0.10638297872340426,0.8936170212765957,94,40,5,0,8.0,nan,nan,0
009,50,driver_function,support,0.08333333333333333,0.9166666666666666,84,50,5,0,10.0,nan,nan,0
